Unicode(s)	Character(s)	Glyph name	Character name(s)	Added
006C,0315	&#x006C;&#x0315;	n/a	LATIN SMALL LETTER L , COMBINING COMMA ABOVE RIGHT	&bull;
006C,0325	&#x006C;&#x0325;	n/a	LATIN SMALL LETTER L , COMBINING RING BELOW	&bull;
006C,032A	&#x006C;&#x032A;	n/a	LATIN SMALL LETTER L , COMBINING BRIDGE BELOW	&bull;
006C,032F	&#x006C;&#x032F;	n/a	LATIN SMALL LETTER L , COMBINING INVERTED BREVE BELOW	&bull;
006D,0300	&#x006D;&#x0300;	n/a	LATIN SMALL LETTER M , COMBINING GRAVE ACCENT	&bull;
006D,0302	&#x006D;&#x0302;	n/a	LATIN SMALL LETTER M , COMBINING CIRCUMFLEX ACCENT	&bull;
006D,0304	&#x006D;&#x0304;	n/a	LATIN SMALL LETTER M , COMBINING MACRON	&bull;
006D,0313	&#x006D;&#x0313;	n/a	LATIN SMALL LETTER M , COMBINING COMMA ABOVE	&bull;
006D,0325	&#x006D;&#x0325;	n/a	LATIN SMALL LETTER M , COMBINING RING BELOW	&bull;
006D,0327	&#x006D;&#x0327;	uni006D0327	LATIN SMALL LETTER M , COMBINING CEDILLA	&bull;
006D,0329	&#x006D;&#x0329;	n/a	LATIN SMALL LETTER M , COMBINING VERTICAL LINE BELOW	&bull;
006E,0302	&#x006E;&#x0302;	n/a	LATIN SMALL LETTER N , COMBINING CIRCUMFLEX ACCENT	&bull;
006E,0303,0325	&#x006E;&#x0303;&#x0325;	n/a	LATIN SMALL LETTER N , COMBINING TILDE , COMBINING RING BELOW	&bull;
006E,0304	&#x006E;&#x0304;	n/a	LATIN SMALL LETTER N , COMBINING MACRON	&bull;
006E,0308	&#x006E;&#x0308;	n/a	LATIN SMALL LETTER N , COMBINING DIAERESIS	&bull;
006E,030A,0323	&#x006E;&#x030A;&#x0323;	n/a	LATIN SMALL LETTER N , COMBINING RING ABOVE , COMBINING DOT BELOW	&bull;
006E,0313	&#x006E;&#x0313;	n/a	LATIN SMALL LETTER N , COMBINING COMMA ABOVE	&bull;
006E,0325	&#x006E;&#x0325;	n/a	LATIN SMALL LETTER N , COMBINING RING BELOW	&bull;
006E,032A	&#x006E;&#x032A;	n/a	LATIN SMALL LETTER N , COMBINING BRIDGE BELOW	&bull;
006F,0308,0300	&#x006F;&#x0308;&#x0300;	n/a	LATIN SMALL LETTER O , COMBINING DIAERESIS , COMBINING GRAVE ACCENT	&bull;
006F,0308,0301	&#x006F;&#x0308;&#x0301;	n/a	LATIN SMALL LETTER O , COMBINING DIAERESIS , COMBINING ACUTE ACCENT	&bull;
006F,0308,0302	&#x006F;&#x0308;&#x0302;	n/a	LATIN SMALL LETTER O , COMBINING DIAERESIS , COMBINING CIRCUMFLEX ACCENT	&bull;
006F,0308,030C	&#x006F;&#x0308;&#x030C;	n/a	LATIN SMALL LETTER O , COMBINING DIAERESIS , COMBINING CARON	&bull;
006F,0323,0300	&#x006F;&#x0323;&#x0300;	n/a	LATIN SMALL LETTER O , COMBINING DOT BELOW , COMBINING GRAVE ACCENT	&bull;
006F,0323,0301	&#x006F;&#x0323;&#x0301;	n/a	LATIN SMALL LETTER O , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
